Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,nike-dunk-low-panda,Nike Dunk Low Panda,,The classic black and white colorway.,published,,,,,,,,,,,,,,,,,,Size 40,NK-DNK-PND-40,,,TRUE,,,,,,,,,120,,Size,40,,
,nike-dunk-low-panda,Nike Dunk Low Panda,,The classic black and white colorway.,published,,,,,,,,,,,,,,,,,,Size 42,NK-DNK-PND-42,,,TRUE,,,,,,,,,120,,Size,42,,
,nike-dunk-low-panda,Nike Dunk Low Panda,,The classic black and white colorway.,published,,,,,,,,,,,,,,,,,,Size 44,NK-DNK-PND-44,,,TRUE,,,,,,,,,120,,Size,44,,
,jordan-1-travis-scott,Jordan 1 Retro Low Travis Scott,,Exclusive Cactus Jack collaboration.,published,,,,,,,,,,,,,,,,,,Size 41,JD1-TS-41,,,TRUE,,,,,,,,,850,,Size,41,,
,jordan-1-travis-scott,Jordan 1 Retro Low Travis Scott,,Exclusive Cactus Jack collaboration.,published,,,,,,,,,,,,,,,,,,Size 42,JD1-TS-42,,,TRUE,,,,,,,,,850,,Size,42,,
,jordan-1-travis-scott,Jordan 1 Retro Low Travis Scott,,Exclusive Cactus Jack collaboration.,published,,,,,,,,,,,,,,,,,,Size 43,JD1-TS-43,,,TRUE,,,,,,,,,850,,Size,43,,
,yeezy-boost-350-zebra,adidas Yeezy Boost 350 V2 Zebra,,Iconic black and white Primeknit.,published,,,,,,,,,,,,,,,,,,Size 40,YZY-350-ZEB-40,,,TRUE,,,,,,,,,230,,Size,40,,
,yeezy-boost-350-zebra,adidas Yeezy Boost 350 V2 Zebra,,Iconic black and white Primeknit.,published,,,,,,,,,,,,,,,,,,Size 42,YZY-350-ZEB-42,,,TRUE,,,,,,,,,230,,Size,42,,
,yeezy-boost-350-zebra,adidas Yeezy Boost 350 V2 Zebra,,Iconic black and white Primeknit.,published,,,,,,,,,,,,,,,,,,Size 44,YZY-350-ZEB-44,,,TRUE,,,,,,,,,230,,Size,44,,
,new-balance-550-ald,New Balance 550 Aime Leon Dore,,Retro basketball-inspired aesthetic.,published,,,,,,,,,,,,,,,,,,Size 41,NB-550-ALD-41,,,TRUE,,,,,,,,,180,,Size,41,,
,new-balance-550-ald,New Balance 550 Aime Leon Dore,,Retro basketball-inspired aesthetic.,published,,,,,,,,,,,,,,,,,,Size 42,NB-550-ALD-42,,,TRUE,,,,,,,,,180,,Size,42,,
,new-balance-550-ald,New Balance 550 Aime Leon Dore,,Retro basketball-inspired aesthetic.,published,,,,,,,,,,,,,,,,,,Size 45,NB-550-ALD-45,,,TRUE,,,,,,,,,180,,Size,45,,
,jordan-4-military-black,Jordan 4 Retro Military Black,,One of the most sought-after releases.,published,,,,,,,,,,,,,,,,,,Size 40,JD4-MB-40,,,TRUE,,,,,,,,,260,,Size,40,,
,jordan-4-military-black,Jordan 4 Retro Military Black,,One of the most sought-after releases.,published,,,,,,,,,,,,,,,,,,Size 42,JD4-MB-42,,,TRUE,,,,,,,,,260,,Size,42,,
,jordan-4-military-black,Jordan 4 Retro Military Black,,One of the most sought-after releases.,published,,,,,,,,,,,,,,,,,,Size 44,JD4-MB-44,,,TRUE,,,,,,,,,260,,Size,44,,
,nike-sb-dunk-ben-jerrys,Nike SB Dunk Low Ben & Jerry's,,Special edition Chunky Dunky.,published,,,,,,,,,,,,,,,,,,Size 42,NK-SB-BJ-42,,,TRUE,,,,,,,,,1500,,Size,42,,
,nike-sb-dunk-ben-jerrys,Nike SB Dunk Low Ben & Jerry's,,Special edition Chunky Dunky.,published,,,,,,,,,,,,,,,,,,Size 43,NK-SB-BJ-43,,,TRUE,,,,,,,,,1500,,Size,43,,
,asics-gel-kayano-14-jjjjound,ASICS Gel-Kayano 14 JJJJound,,Minimalist silver and white design.,published,,,,,,,,,,,,,,,,,,Size 41,ASC-GK-JJJ-41,,,TRUE,,,,,,,,,250,,Size,41,,
,asics-gel-kayano-14-jjjjound,ASICS Gel-Kayano 14 JJJJound,,Minimalist silver and white design.,published,,,,,,,,,,,,,,,,,,Size 42,ASC-GK-JJJ-42,,,TRUE,,,,,,,,,250,,Size,42,,
,jordan-3-retro-white-cement,Jordan 3 Retro White Cement Reimagined,,The 1988 classic with a vintage touch.,published,,,,,,,,,,,,,,,,,,Size 42,JD3-WC-42,,,TRUE,,,,,,,,,225,,Size,42,,
,jordan-3-retro-white-cement,Jordan 3 Retro White Cement Reimagined,,The 1988 classic with a vintage touch.,published,,,,,,,,,,,,,,,,,,Size 44,JD3-WC-44,,,TRUE,,,,,,,,,225,,Size,44,,
,nike-air-max-1-patta,Nike Air Max 1 Patta Waves Monarch,,Iconic Amsterdam collaboration.,published,,,,,,,,,,,,,,,,,,Size 40,NK-AM1-PT-40,,,TRUE,,,,,,,,,190,,Size,40,,
,nike-air-max-1-patta,Nike Air Max 1 Patta Waves Monarch,,Iconic Amsterdam collaboration.,published,,,,,,,,,,,,,,,,,,Size 43,NK-AM1-PT-43,,,TRUE,,,,,,,,,190,,Size,43,,
,yeezy-slide-onyx,adidas Yeezy Slide Onyx,,Supreme comfort in black.,published,,,,,,,,,,,,,,,,,,Size 42,YZY-SLD-ONX-42,,,TRUE,,,,,,,,,70,,Size,42,,
,yeezy-slide-onyx,adidas Yee를 Slide Onyx,,Supreme comfort in black.,published,,,,,,,,,,,,,,,,,,Size 44,YZY-SLD-ONX-44,,,TRUE,,,,,,,,,70,,Size,44,,
,new-balance-2002r-protection,New Balance 2002R Protection Pack,,Deconstructed grey design.,published,,,,,,,,,,,,,,,,,,Size 41,NB-2002R-PP-41,,,TRUE,,,,,,,,,170,,Size,41,,
,new-balance-2002r-protection,New Balance 2002R Protection Pack,,Deconstructed grey design.,published,,,,,,,,,,,,,,,,,,Size 43,NB-2002R-PP-43,,,TRUE,,,,,,,,,170,,Size,43,,
,nike-dunk-low-grey-fog,Nike Dunk Low Grey Fog,,Clean grey and white tones.,published,,,,,,,,,,,,,,,,,,Size 41,NK-DNK-GF-41,,,TRUE,,,,,,,,,125,,Size,41,,
,nike-dunk-low-grey-fog,Nike Dunk Low Grey Fog,,Clean grey and white tones.,published,,,,,,,,,,,,,,,,,,Size 43,NK-DNK-GF-43,,,TRUE,,,,,,,,,125,,Size,43,,
,nike-dunk-low-unc,Nike Dunk Low UNC,,University blue colorway.,published,,,,,,,,,,,,,,,,,,Size 42,NK-DNK-UNC-42,,,TRUE,,,,,,,,,140,,Size,42,,
,nike-dunk-low-unc,Nike Dunk Low UNC,,University blue colorway.,published,,,,,,,,,,,,,,,,,,Size 44,NK-DNK-UNC-44,,,TRUE,,,,,,,,,140,,Size,44,,
,nike-dunk-low-court-purple,Nike Dunk Low Court Purple,,Purple and white classic.,published,,,,,,,,,,,,,,,,,,Size 41,NK-DNK-CP-41,,,TRUE,,,,,,,,,135,,Size,41,,
,nike-dunk-low-court-purple,Nike Dunk Low Court Purple,,Purple and white classic.,published,,,,,,,,,,,,,,,,,,Size 43,NK-DNK-CP-43,,,TRUE,,,,,,,,,135,,Size,43,,
,nike-air-force-1-white,Nike Air Force 1 White,,Timeless all-white sneaker.,published,,,,,,,,,,,,,,,,,,Size 40,NK-AF1-WHT-40,,,TRUE,,,,,,,,,110,,Size,40,,
,nike-air-force-1-white,Nike Air Force 1 White,,Timeless all-white sneaker.,published,,,,,,,,,,,,,,,,,,Size 44,NK-AF1-WHT-44,,,TRUE,,,,,,,,,110,,Size,44,,
,nike-air-force-1-black,Nike Air Force 1 Black,,Classic black leather sneaker.,published,,,,,,,,,,,,,,,,,,Size 42,NK-AF1-BLK-42,,,TRUE,,,,,,,,,110,,Size,42,,
,nike-air-force-1-black,Nike Air Force 1 Black,,Classic black leather sneaker.,published,,,,,,,,,,,,,,,,,,Size 45,NK-AF1-BLK-45,,,TRUE,,,,,,,,,110,,Size,45,,
,jordan-1-mid-chicago,Jordan 1 Mid Chicago,,Inspired by the Chicago colorway.,published,,,,,,,,,,,,,,,,,,Size 41,JD1-MID-CHI-41,,,TRUE,,,,,,,,,150,,Size,41,,
,jordan-1-mid-chicago,Jordan 1 Mid Chicago,,Inspired by the Chicago colorway.,published,,,,,,,,,,,,,,,,,,Size 44,JD1-MID-CHI-44,,,TRUE,,,,,,,,,150,,Size,44,,
,jordan-1-high-bred-toe,Jordan 1 High Bred Toe,,"Iconic red, white and black.",published,,,,,,,,,,,,,,,,,,Size 42,JD1-HI-BT-42,,,TRUE,,,,,,,,,320,,Size,42,,
,jordan-1-high-bred-toe,Jordan 1 High Bred Toe,,"Iconic red, white and black.",published,,,,,,,,,,,,,,,,,,Size 44,JD1-HI-BT-44,,,TRUE,,,,,,,,,320,,Size,44,,
,jordan-4-black-cat,Jordan 4 Retro Black Cat,,All-black premium release.,published,,,,,,,,,,,,,,,,,,Size 41,JD4-BC-41,,,TRUE,,,,,,,,,290,,Size,41,,
,jordan-4-black-cat,Jordan 4 Retro Black Cat,,All-black premium release.,published,,,,,,,,,,,,,,,,,,Size 43,JD4-BC-43,,,TRUE,,,,,,,,,290,,Size,43,,
,jordan-11-concord,Jordan 11 Retro Concord,,Legendary patent leather design.,published,,,,,,,,,,,,,,,,,,Size 42,JD11-CON-42,,,TRUE,,,,,,,,,350,,Size,42,,
,jordan-11-concord,Jordan 11 Retro Concord,,Legendary patent leather design.,published,,,,,,,,,,,,,,,,,,Size 44,JD11-CON-44,,,TRUE,,,,,,,,,350,,Size,44,,
,adidas-samba-og-white,Adidas Samba OG White,,Classic football-inspired sneaker.,published,,,,,,,,,,,,,,,,,,Size 41,AD-SMB-WHT-41,,,TRUE,,,,,,,,,100,,Size,41,,
,adidas-samba-og-white,Adidas Samba OG White,,Classic football-inspired sneaker.,published,,,,,,,,,,,,,,,,,,Size 43,AD-SMB-WHT-43,,,TRUE,,,,,,,,,100,,Size,43,,
